id;nombre;descripcion;precio;tipos;categoria;imagen_url;disponible
pz-001;Margarita;Salsa de tomate, mozzarella fresca y albahaca;9.0;"[{""nombre"": ""pequeña"", ""precio"": 9.0}, {""nombre"": ""mediana"", ""precio"": 10.8}, {""nombre"": ""grande"", ""precio"": 12.96}]";pizzas;/img/pz-001.jpg;TRUE
pz-002;Pepperoni;Pepperoni crujiente, mozzarella y salsa de tomate;10.0;"[{""nombre"": ""pequeña"", ""precio"": 10.0}, {""nombre"": ""mediana"", ""precio"": 12.0}, {""nombre"": ""grande"", ""precio"": 14.4}]";pizzas;/img/pz-002.jpg;TRUE
pz-003;Cuatro Quesos;Mozzarella, gorgonzola, parmesano y provolone;11.5;"[{""nombre"": ""pequeña"", ""precio"": 11.5}, {""nombre"": ""mediana"", ""precio"": 13.8}, {""nombre"": ""grande"", ""precio"": 16.56}]";pizzas;/img/pz-003.jpg;TRUE
pz-004;Hawaiana;Jamón, piña, mozzarella y salsa de tomate;10.5;"[{""nombre"": ""pequeña"", ""precio"": 10.5}, {""nombre"": ""mediana"", ""precio"": 12.6}, {""nombre"": ""grande"", ""precio"": 15.12}]";pizzas;/img/pz-004.jpg;TRUE
pz-005;Veggie;Pimientos, champiñones, cebolla y aceitunas;10.0;"[{""nombre"": ""pequeña"", ""precio"": 10.0}, {""nombre"": ""mediana"", ""precio"": 12.0}, {""nombre"": ""grande"", ""precio"": 14.4}]";pizzas;/img/pz-005.jpg;TRUE
beb-001;Coca-Cola;Refresco de cola, 355ml;2.5;"[{""nombre"": ""pequeña"", ""precio"": 2.5}, {""nombre"": ""mediana"", ""precio"": 3.0}, {""nombre"": ""grande"", ""precio"": 3.6}]";bebidas;/img/beb-001.jpg;TRUE
beb-002;Limonada Natural;Limonada fresca con menta;3.0;"[{""nombre"": ""pequeña"", ""precio"": 3.0}, {""nombre"": ""mediana"", ""precio"": 3.6}, {""nombre"": ""grande"", ""precio"": 4.32}]";bebidas;/img/beb-002.jpg;TRUE
beb-003;Agua Mineral;Agua mineral con gas, 500ml;2.0;"[{""nombre"": ""pequeña"", ""precio"": 2.0}, {""nombre"": ""mediana"", ""precio"": 2.4}, {""nombre"": ""grande"", ""precio"": 2.88}]";bebidas;/img/beb-003.jpg;TRUE
beb-004;Cerveza Artesanal;Cerveza rubia artesanal, 330ml;4.0;"[{""nombre"": ""pequeña"", ""precio"": 4.0}, {""nombre"": ""mediana"", ""precio"": 4.8}, {""nombre"": ""grande"", ""precio"": 5.76}]";bebidas;/img/beb-004.jpg;TRUE
beb-005;Té Helado;Té helado de durazno;2.5;"[{""nombre"": ""pequeña"", ""precio"": 2.5}, {""nombre"": ""mediana"", ""precio"": 3.0}, {""nombre"": ""grande"", ""precio"": 3.6}]";bebidas;/img/beb-005.jpg;TRUE
pos-001;Tiramisú;Clásico italiano con mascarpone y café;5.0;"[{""nombre"": ""pequeña"", ""precio"": 5.0}, {""nombre"": ""mediana"", ""precio"": 6.0}, {""nombre"": ""grande"", ""precio"": 7.2}]";postres;/img/pos-001.jpg;TRUE
pos-002;Cheesecake;Cheesecake de fresa;5.5;"[{""nombre"": ""pequeña"", ""precio"": 5.5}, {""nombre"": ""mediana"", ""precio"": 6.6}, {""nombre"": ""grande"", ""precio"": 7.92}]";postres;/img/pos-002.jpg;TRUE
pos-003;Brownie con Helado;Brownie de chocolate con helado de vainilla;4.5;"[{""nombre"": ""pequeña"", ""precio"": 4.5}, {""nombre"": ""mediana"", ""precio"": 5.4}, {""nombre"": ""grande"", ""precio"": 6.48}]";postres;/img/pos-003.jpg;TRUE
pos-004;Flan Casero;Flan de caramelo;4.0;"[{""nombre"": ""pequeña"", ""precio"": 4.0}, {""nombre"": ""mediana"", ""precio"": 4.8}, {""nombre"": ""grande"", ""precio"": 5.76}]";postres;/img/pos-004.jpg;TRUE
pos-005;Helado Artesanal;Helado artesanal de vainilla;3.5;"[{""nombre"": ""pequeña"", ""precio"": 3.5}, {""nombre"": ""mediana"", ""precio"": 4.2}, {""nombre"": ""grande"", ""precio"": 5.04}]";postres;/img/pos-005.jpg;TRUE
